image_id,cell_id,label,kernel_area,flake_area
1,0,A,0.5726270147987558,2.865491563766613
1,2,B,0.5773399943444246,3.035158827410689
1,4,C,0.5419926477519088,1.8993307569045148
1,6,D,0.6433217079837874,2.766518993307569
1,8,E,0.567914035253087,2.5850692807993214
2,0,A,0.7281553398058253,3.1129229899142237
2,2,B,0.5608445659345839,2.316429446696201
2,4,C,0.6268262795739467,1.4869450466584975
2,6,D,0.8766141954943916,2.3211424262418703
2,8,E,0.5207842397963993,2.299934018286361
